cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,6074949.5,5368326.3,5097927.3,6050677.2,6461262.5,6387638.4,6668553.3,6629068.6,7082880,8255555,8962011.5,9702131.4,10060986.4,10737174,11222948,12222182,13637666.2,14844844,16086092.5,17260884,17956369,18631531.8,19190918
ALB,125192.2,108645.6,91698.6,72175.2,71563.8,42182.3,31761.6,25099.2,15558.4,28731.4,34115.6,41549.2,50224,96327,128816.1,39752.8,41270.7,57721,38142,14690,14710,14720,14735
ARG,8786451.8,10694508.8,16512462,11531009,9864276.3,8580584,7104796.4,7014735,6121911.2,5340589.1,5120020.8,4061460,3893972.5,3679623.5,4087493.1,3651369.7,3705071.5,3178657.8,3919225.3,4898077.2,4974352.3,5169916.4,5117697
ARM,305772,309880,212380,137922.6,125441.8,60812.4,39946.5,31687.2,21519.2,27147.2,18988.2,32487.5,21903.2,46882.8,34581.4,28294.9,20475,20803,34327.8,25258.2,20573,25284,24108
AZE,3635854.8,3466114.4,664643.1,802656,582981,262116.6,16398.9,872.5,882.2,0,0,0,0,0,0,0,0,982.8,992.4,0,1010,0,0
BDI,4552391.2,4229931.2,3941462.7,4262189,4322127.6,4633436.6,4454570,4560955.5,5112791.2,5241957.5,5316308.8,5372446.3,5525235.1,5323200,5146807.6,5782833,6233365.2,6970342.4,6724591.5,6843731.2,7058928,7299919.2,7518810
BEN,658449.4,596591.1,643507.2,573024,544050,724765.6,675437.4,576631,811430.1,950853.5,1098360.6,1288588.2,1352331,1615646,1753933.5,2091932.8,1760176.8,1163421.6,481263.4,139251.8,143051.4,146910,146981.5
BFA,3647233.6,3000332.8,2774530.1,1991739.6,1735729.2,2038801.8,1830959.6,1691712.4,2128581,2296889.7,1999000.5,1815657.8,1521217.8,1140476.4,731577.6,1090282.2,1230702,1203463.8,1171293.6,957119.1,984531.3,870628.5,890750.9
BGD,44014179,44456470.5,44586566.4,42470304.5,39339868.8,35327055.3,33478250.4,31973304.7,31219498.8,30316682.5,29456046.4,29658842.4,26162136,25589530.4,25377276,24421951.5,22585147.2,22658592,21794208,20941023.6,20933257.5,21043050,20735511.3
BLR,5380254.4,4291793.1,4026754.2,3953466,3000527.6,1984056.4,1376885,943209.3,859432.8,803464.2,628059.9,673174.8,313523.2,151664,115717,184028.4,185808,142966.8,74670.8,51887,51788,51683.5,51579
BLZ,24255.4,22134,21431.6,22004.2,23211.6,24564.4,25462.5,29263.6,33063.9,39344.2,38199,38427.2,36187.2,36360.8,35486.1,36294.9,37103.7,37912.5,38721.3,38298,39083.6,39771,40654.8
BOL,3039930,2574591,2740721.8,2502921,1965566.4,2389186.8,2116752,2006425,1805760,1643415.6,1478922.9,1328412.2,1408886.4,1230320,1303350.8,1270912.5,1465524.8,1444365.7,1314398,978680,990475.2,1015083.6,1022179.2
BRA,37704448.8,36598930.9,35561807.4,40292025.6,35894593.4,31327456.8,24722769.6,24260429,23678523.3,22393550.4,20781657.6,19868600,19053295,18135756.8,16929257.7,18536580,22571881.1,22665890.4,21845821.2,22131350.6,22241752,22518078.8,22616798.4
BTN,115661,140653.2,96354,56409.6,46528,29651.2,140649.6,28441.8,43111.5,30773.4,16502.9,16524.3,15511.8,10710,13114.4,11032,11650.8,12266.4,1715.7,6195,6012,6330,6312.2
BWA,549303.3,568971,557496,535427.2,490354.9,434304,383220.5,356769.6,361177.6,463283.9,417911,399945,441823.5,392374.7,370944.8,433381,407205.9,400695.9,363248.1,347553.6,352494.4,356265,361670.4
CAF,2893227.5,2888932.1,2882975.3,2986148.1,2961366.5,2985884.5,2956527.2,2919397.5,2918971,2825166,2790857.7,2733940.8,2637115.2,3460050,3460747.5,3408590.8,3390372,3410853.9,3397146,3410534.2,3466844.5,3557790.9,3636535.2
CHL,931043,875731.5,851508,796320,603817.2,453730.7,303533.4,295188.9,341571,380335.4,309272.6,260725.6,199053.5,150181.8,146187.9,143872.2,121788,97497,125559.3,155864.5,157020.5,161863.5,159239
CHN-R,59160901.8,54085593.6,47418414.8,36111090.6,28769438.4,14661052,9699482,20805300.4,29540255.1,23536946.6,19814537.4,16242144,12802307.6,2533962.6,2352637.6,1181184.4,1153700.9,948096,809233.6,225461.2,219788.8,214201.2,208707.6
CHN-U,2854337.4,2585746.8,2345347,2494128,2757243.6,2472725.2,2274070.5,2296036,2565267.5,2136321,1740320.4,1519592.8,1423734,1759341.6,1885657.5,1240564.8,716660.1,490174.8,251106.6,171281.8,175015.2,178595.4,182016.2
CIV,1271549.4,1363200,1472636.8,1967784,1835796,1971120,2122450,2502174.6,2762866.6,2998374.4,3221317.9,4402787.2,4202407.8,3760579.2,3309950.8,3235260,2277185.6,1348372.5,856766.4,541257.2,567910.7,499000.8,428968.8
COD,38889483.6,40704193.4,41926185.5,42828426,43584163,44337359.8,43809516.4,42563354.8,41017416.2,42750165,40126853.7,38073109.1,35303452.2,33005044.8,31877392.8,31705571.7,33336822.4,34244140,34022025,34587126.4,35614039.5,36962100.8,38031267.4
COG,1571220,1615223.6,1600949.3,1691115.8,1728958,1703302,1529514,1809080,1699084.8,1639956.8,1428407.2,1548410.3,1413528.3,1534896,1430125.6,1575423,1833570.2,1971296.7,2197393,2256702.4,2318021.2,2399524.2,2446857.6
COL,7313124,9181536,6663991.6,6529344.8,5977087.6,5531950.8,5724981.6,5999500,6699378.4,6044869.6,5129040.6,4492197.6,4411502.1,3934203.3,3550945.6,3467593.2,3790068.7,3267795.6,3210213.6,3933165,3937248,4005619.2,3941053.2
COM,114470.4,113702,120912.5,122721.5,123965.4,126904.7,132673.2,149778.6,154066.5,148665.7,151041,158285.2,168764.4,171171,188763.3,195182.4,201547.2,203988.4,207584,213771.2,217945.2,222532.8,227475.6
CPV,52504.5,46309.2,42985.2,38962,34772.4,30970,27792,23035.1,17170.8,16599.8,14536.7,14325.6,13107,11804,10381.9,9700.6,9234,7931.5,6869.6,5824,5896.8,6027,6052.8
CRI,447450,350848.8,325852.6,331730.4,324492.5,286315.2,286979.4,218500,268901,281909.2,187749.8,225860,210406,202828.6,200311.8,214392.2,198165.6,157482.6,197624.7,171465.7,173009.2,175536,175924.7
DJI,152004,158401.3,159867.8,166828.2,174636,177506.1,186099.5,196667.9,236612.5,258633,258533.8,262571.2,262185.6,291289.6,284635.2,292932,299591.1,298966.8,309582,303885.2,305100,305112.6,303465.6
DOM,959912.3,847087.8,1042176,1266281.6,2052726.5,1352296.8,1032684.2,992217.6,1112109.8,1037361.6,970004,826224.8,888562.5,798911.4,660781,630687.1,577175.8,352080.9,243779.2,266103.2,268813.6,271475.6,274040.8
DZA,2173524.8,2037684,1590151.5,1432212.6,1214747,862159.2,803916.4,727160,617039.7,524882,408133.4,294552,293014.8,268373,258152.4,243213.1,215217.1,218990.7,205839.2,196323.4,199331.8,202257.4,205091
ECU,3329004.4,3125606.4,2664073.6,2650026,2801766.6,2306106.5,1734825.6,1802614.5,1882574.4,1811400.3,1604019,1452438.9,1364670,1091571.7,974915.2,1155910.4,1182997,1095587.5,1160174.4,1222721.5,1246458.4,1294761.6,1283380
EGY,775956.6,954441.8,1335656,1827355.4,2321765.6,1811960.8,2047765.8,2513369.2,3092442.8,2968740,3313855.2,3350022,3240299.7,3520473.6,4039772,4173121,6257995.2,10672298.2,12471688,9995398.4,10180864.9,10113247.2,10120161.6
ETH,36868151.7,30581678,35516892.4,39776971.8,30849561.6,28995133.3,30058001.2,32805000,39903844.5,37062002.4,32950017.1,35928753,38539903.6,37176726.6,36405147.4,37801930.5,36230181.4,34216308,31002340.5,30617530,30422378.2,30743625.6,30909417
FJI,161669.2,164102.4,157814.4,162664.7,144213.4,144178.8,140097.6,146292,150391.2,161624.4,157294,166377.3,171566.2,157165.2,168694.4,198470,231773.8,202672.2,208848,253827,373573.2,411525,345758.4
FSM,2557.3,2546.6,2546.6,2439.6,2557.3,2416.8,2968,4504.5,8122.4,6260.8,6427.2,6870.1,7745.6,9620,9828,8850.4,8872.5,8617.8,8109,8014.3,8553.6,9003.4,9003.4
GAB,206561.8,217568.8,235378.6,248203.2,270543,284809,309663.5,295119.8,338688,355964.1,309468,295108.3,291134.9,260557.8,229247.2,227547,197702.1,171922.5,176814,177366.9,181329.3,186270.6,191349
GEO,1342464.6,1395993.6,833887.5,871841.6,827001.6,930603.8,979687.3,1082820.6,1012956,981523.2,1135022.4,1151472,941142.8,760460,657482.4,577636.2,573050,582496.8,559873.1,572326.4,563795.4,546652.8,525585.6
GHA,10702428.9,10961212.4,10588145,10397299.5,10098944.4,9657278.6,9298937,9220740,8618300.1,8234583.5,7434489.6,6001645.8,4740018.6,4131052.8,3699186.4,3318114.6,3088666.5,2739230,2651670,2552225.6,2550922,2610316.8,2686310.2
GIN,3433358.4,3590194.2,3696830.2,3772412,3724268.4,3676084.2,3755768.1,3859073.4,3399693.2,3564043.2,3993780,3476025,2635241.6,2601368,2560721.4,2623747,2525065.2,2501433.9,2542529.6,2513464.8,2542559.9,2600473,2667742.5
GMB,535796.8,619612.5,742460.8,609343.5,545919,566048,563598,560349.9,518323.2,655672,417924,487238.3,420226.4,365107.6,334516.5,264324.9,280225,309267.2,307288,316376,323771.6,336772,345362.1
GTM,1177815,1363027.5,1491939.8,1575000,1728874.7,1931660,2045721.9,2104473.6,2218550.4,2399361.6,2408262.6,2580197.4,2756415.5,2957191.2,3111549.6,3317033.2,3570104.6,3810724.2,3964625.5,4095674,4157143.1,4249027.6,4272710
GUY,137949.6,132577.6,131575.2,132201.6,130848,132401.3,125400,107343.9,104440,100426,98230.5,93924.6,88929.3,87170,86332,86784,81966.6,77622.3,76948.8,74292.8,50228.5,42930,31720.3
HND,3147177.6,3022558.8,3421205.5,3725909.8,3696372.4,3627516,3273228,3155655.2,3134241.3,2878940.5,3086237,3139140.9,3604419,3380949,3350062.7,3437439.6,3308930.3,3187160,3251690.1,3222839.2,3261696.4,3340656.5,3344676.3
HTI,5192415,5308204.4,5355777,5471481.5,5528849.7,5487993.6,5470974,5437933,5591050.5,5397473.4,5524000,5495546.5,2454955.4,2447347.2,2463509,2387704.8,2290886.4,2195101.9,2219266.1,2520680.6,2568934.8,2618094.6,2646557.1
IDN-R,33138298.9,27112161.5,15453469.6,12247356.2,16313115,12892996.4,20260013.5,17455443.6,19704938,16800672,16216378.5,14542881.4,12805584,11999820.8,10005800.4,9087735.8,9743597.3,7840153.5,6865459.2,4816621.6,4662343,4754254.5,4691380.2
IDN-U,5100047.4,2899995.2,767588.4,792390.6,1039888,1041560,2008772.7,1738806.4,2214471.2,2304901.2,2082111.6,2274964.5,2169506,1951065.6,1987462.4,2463666.5,2241470.7,1904694,1535071.2,679050,647593.8,692846,707185.6
IND-R,177095482.5,171999895.3,170163635.2,165015865.5,159329947,149297431.6,141171930,130730044.2,122002119.9,114882363.2,95481502.8,60686503.2,50774623.2,52684912.8,52054051,47519190,43796610,27654648.7,17776112.8,15606216.6,15121663.2,15889860.8,15205848
IND-U,36331345,36405216.3,37182844,37230396,37072513.7,34919607.6,32984640,30058474.8,28641160.8,27632606.4,23872711.5,15291214.4,12985440,13748280,13659465.2,12400094.1,15246902.4,13903856.7,12901840,9672474,9758599.8,10287472,10227361
IRN,1858309.2,1549917.6,1114937.6,1121651.9,1051231.8,950683.5,804865.1,857168.9,1289356.5,1495866.4,1334749.3,943637.5,970953.1,1029885.5,1599604.8,1690368,1581476.6,1647608.9,2009294,3793156,3895200.8,3928752.8,3926168.4
IRQ,1951182,1508474.4,1785632.4,6832158.2,847407.4,486144,337903.4,337841,331876.8,421505.4,624488.9,656748.9,563747.2,548904.6,612622.5,592286,360869.1,401887.5,413070,367758.3,377677.3,387769.2,393624
JAM,317245.8,307051.9,299145,246792,229508.9,259033.6,226872,234765,299925,368445.6,364519.8,354882,408251.7,440634,442179,478475.2,485040.6,475858.6,463550.1,480652.4,479479.8,496230,497080
JOR,1147154.4,1081910.2,989384.8,938538.3,822649.6,725106.6,686563.8,809425.1,909108.9,705973.5,746928,785527.5,802396.8,965085.8,1259687,1699910.4,1760707.2,1626222.8,1628053.2,1655508,1699798.5,1712088,1715784.5
KAZ,5428048.5,5316640,4744794.6,4015155.2,3135666.8,4276883.2,1231743.5,703384.8,753647.1,776832,524768,241381.5,196283.6,98079.9,106676.8,136667.3,246421.9,143819.5,99381.6,87387.1,84496.5,89097.9,88002.6
KEN,4110515,4702851,5576630.6,6491716.2,7285077.5,7966608,8273711.6,8451283.4,9239164,9737354,9944675,11123096.6,11225751.2,11542952.5,11869847.5,12867358.8,14146057.8,16569980,16039374.8,16969875,17320709.6,17847649.8,18159351.6
KGZ,2486089.2,2258165,2207576,1848425.6,1004577.2,1198715,897737.7,948549.2,650909.4,336420,480389.2,432850.2,373186.5,467224.8,236197.5,329026.5,144135.2,152334,82182.2,84564.8,85707.2,90624.4,87196.5
KIR,14557.2,16262.6,16068.9,16767.6,18621,18602.4,19893,21100.8,25293.8,33087.6,32836.4,28579.2,26394,23241.6,20482,15254.4,11616.6,10718.4,12248.4,8016,7917.8,8097.2,8416.8
LAO,232344.4,222556.5,224868.2,279558,326304,392422.8,434580.7,550375,499372.5,545067.2,471573,530789.2,445270.4,524796,540547.2,571771.2,598758.8,536295.6,501192,491654.4,519462.5,519304.5,514324.2
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1635506.5,1774859.4,1876393.8,2549394.3,2611811.7,2719674,2793977.6,2940029.7,3064465.8,3035080.4,3032458.8,3021496.2,3007276.2,2967461.4,2980610.8,3070350,3129214.8,3058291.6,3101706,3343050.9,3569227.2,3615312,3660247.5
LCA,23079,45935.1,49200,28867.3,13591.8,17367.6,10823.2,11189,32448,12568.5,13165.3,11083.8,13055,15610,15098.1,16071.6,14880.8,13478.7,13554,14027.5,19910,16959.7,16305.3
LKA,1093112.4,1359844.7,1357000.8,1089490.5,1071326.9,1155880,1036609,1048001.9,1097030,967615,874573.4,828852,943588.8,837542.4,831106.9,685633.4,578184.4,745308.9,513275,393036.6,385837.2,406003.2,394394.4
LSO,450561.6,422464,506883,494076.8,459280.8,397800,360761,338129.2,3e+05,317342,267371,236740.8,210045,199939.2,226617.6,208704,192409.2,181766.2,188507.9,214302,212927.4,210884.7,211670.9
MAR,305810,306411,301032.6,259642.8,247467.8,238063.8,209909.2,184233.4,173783.5,150353,139358.7,108434.7,83332.5,77795.2,54908.8,55686.4,56443.2,50036,50668.8,47625.5,48192.3,48747.4,49288.2
MDA,4024978.1,3902607.8,3720453.9,3538690.4,3576511,3687674.7,2559952,2209305.6,2353708.8,2107392,2023300.5,1914966.9,1921298.4,1713090.4,1821732,1692675.8,1827000,1818493.9,1762684.2,1804231,1777965,1804252.5,1720520.1
MDG,8481069.3,8784192.2,10077441.5,9432606.1,9772066.7,10351236.5,9978608.5,10761995.4,11190321.2,12711642,13458381.3,14822884.8,14954612.4,15360909,15660737.1,15895080.6,16191057.6,16536765.7,17189133.5,17303952,17752700.1,18238121.6,18725156.8
MEX,17078620.1,15686797.4,14557522.5,14261535,12967794,13971193.6,10722960.8,12324327.2,14378116.5,15962791,13409561.7,13338080,14789469.6,15451789.6,15689238.6,15572716.7,15062474,14530950,13768922.7,13881207.2,14069737,14553780,14494427.1
MKD,344152.8,283977,135234,137551,70966.5,110004,154518.7,98548.2,79579.5,351316.2,344407.3,305620,276256.8,224415.6,192537.9,198848,178549.8,172472.4,125100,129394,129456,129518,129518
MLI,5441224.8,3799301.6,3910704,3326585.5,3209528,3262210.2,3059405.1,3119495.6,3329499,3411961.6,3375292.5,3824640.1,3809428,3312078,2656405.8,3062140.4,1660938.5,1149604,930510.9,620203.5,636949,666454.8,686328.5
MMR,39444347.2,38067099.2,36212948,33909000,31184955.1,27732276,24491384.4,20603068,15986664.9,12529931.6,9835395.5,8133977.7,6908738.5,8036177.6,6755312.4,5643910.8,3781277.5,2289615.9,1658734,1314955.4,1194814.4,2879514.9,2763662.4
MNE,87229.9,85207,80863.8,71899.4,58117.5,47801.6,43754.4,26183.7,12606.3,23884.8,13416,21750,37121.8,33168.3,16893.2,100919.6,81078.1,77807.3,81329.7,81081,80577,81203.9,80449.1
MNG,743859.6,647108,456596.7,372325.2,292149,259522.9,192361.6,144059.6,155899.7,145994.3,134564.8,93355.6,63900.5,55371.7,46199.2,52097.5,75094.4,74439.2,65562,64903,63859.1,64694.9,69132
MOZ,12599925.8,12614495.4,12934812,12578808,12220300.8,12350846.9,11928419.2,12019239.6,12360227,12766474.8,13208256.6,13491999,13693544.1,14044384.2,14376099.6,14971879.5,17101362.8,18219732.9,18641007.4,19929010.5,20500060.5,21144249,21702002.1
MRT,741724.2,807994.5,869369.8,813766.4,847779.8,801906,582034.7,648685.4,687873.3,708212,714058,681881.2,630418,621889.6,554329.6,567214.8,613322.6,591396,601096,584148.6,599435.2,614972.4,630634.9
MWI,1623355.2,2106449.6,2054223,1851783.7,1693513.6,1978168,2262955,2438784.2,2553081.9,2736804,2840966.4,2397181.8,2326016.5,1835073.9,1464520.2,1432281,1503362.1,1690968.4,2033406.5,2595020.4,2797163.6,2918174.1,3167574.2
MYS,1254362.6,1246567.4,1214739.6,1068990.4,911298.8,764668,627432,681600,761819.1,806066,542561.6,294940.5,177937,106941.6,93706.8,89099.6,84207.6,66410.4,48064.5,32454,32869,33289,33711
NAM,332325,339628.1,306424.3,305799.3,230949,218236.8,202516,208208,239241.6,246823.5,208825.3,195008,191987.2,189298.9,192525.2,209363.8,235009.2,250105.8,253624,275296.4,280923.2,290505.6,292665.8
NER,5431275.2,5458676.4,5512229.6,5390616.3,5544844.8,5864341.4,5066322,4728963.2,3210062.4,5267643.4,3439395,2680754.4,2815841.6,3429078.6,3617246.1,3754563.9,3502006.2,3859416.9,3119217.6,2829911.7,2939557.5,3053232.6,3267277.6
NGA,46395878.4,50298116.7,44415503.2,38192986.2,34904573.2,35874308,32858265.6,29049132.8,29392838.5,27885001.2,25753067.2,24447837.7,24090768,23712402,23169198,24550161,26243047.9,28442014,30184337.5,32093631.4,33252478.9,34465861,33328922.8
NIC,810352.4,867510,833565.2,863716.8,908010,930567,510665,514191.3,575622.6,605128.8,556586,527366.4,435485.7,396598.2,357833,343633,322207.6,296598.6,331219.5,351210.3,355501.8,359047.4,357302.4
NPL,4123811.7,4221101.4,4544710,4323835,3887462.4,3043468,2389166.1,2081471,1262905.2,1275593.4,967423.4,1032960.6,846090,819989.8,861049.6,853948.8,820218.9,685737,580630.4,494043,484160,489248,481962
PER,6906347.5,7581550.7,6839117.1,6335817.6,6856432.2,7393958,6453655,5712356.7,5029535.2,4573457.7,3980041.5,3711072,3567809.7,3258229,3106591.9,3096909.9,3005820.4,2997778,2441400,2176937.4,2195260.8,2273805,2247630
PHL,13180648,12627061,12210935.2,11566357.6,12659361,13346587.8,14014316.4,12831404.1,13422220.8,13501154.4,15024438.1,16035287.4,15963681.6,14535795.6,13934198.4,12704328.4,11468520,10260980.4,9490219.2,8551184.6,8545941.6,8982152.1,9020789.9
PNG,3254605.2,3220386.1,3161329.6,3002494.5,2968851.6,2825331,2710283,2540791.8,2460287.5,2187230.4,1988818.4,1977894.9,1824310.5,1641390.4,1406757,1306800,1280664,1231874.3,1216545.5,1208190.9,1337764,1373711.4,1357123.2
PRY,573254.3,438507.7,729391.6,533881.6,415821.6,439261,669485.4,720692.8,530321.9,571742.4,625347,673458,431926,283210.8,317165.2,320663.7,332887.5,244514.9,282736,221329.4,223992.2,233772.3,229977.6
PSE,95723.1,115815,145297,118370.4,85171.5,70804.8,39517.2,159084.8,137131.2,66890.2,78493.1,57670.2,51969.5,84326.5,96184.4,115176.1,98215.5,124009.2,130341.6,133824.6,137307.6,151242,147280
ROU,2781489.6,2253360,1931982,1449324.3,991072.8,696507.5,650066.4,374440.8,0,0,0,0,0,0,1431992.4,1043542.5,0,637599.6,0,420832.8,418780.8,416772,414763.2
RUS,40566608.7,32327185.5,26948192,26401221,23752855.6,20278861.6,15880077.6,11208645,8470513.6,7955970.8,6370353,5630275.2,4804603.5,4135593.6,4327206.1,5769908.8,5528217.6,4924458,4376536,3885165,3853491.6,3935626.4,3786842.4
RWA,1736826.4,1671630.3,1459656,1626632,1789172.2,1743548.8,1688380.4,1546637.6,1441638,1578361.4,1397690.8,1219856,1269865.3,1271368.5,1200301,1204764.4,1450420.6,1698271.9,1202692.4,1003049.6,1014242.5,1067644.2,1063448.2
SDN,8215875,7922407.5,7666164,7409041.2,7344253.8,7140672,6811308.5,6550220.7,7441464.8,8570655,8950675.8,8380296.1,10393912,9676810,8370288.4,8328428.5,7622915.4,8892940.2,11830635,15892107,16349645.5,16936421.4,17440227.3
SEN,2328670.4,2392873.5,2679306.9,2427652.5,2222769.5,2256950.6,2209698.4,2341355.6,2553076.8,2569189.7,2769190.4,3252094.5,3137987,3275840,2347724.4,1833184.8,1388621.2,841688.1,545882.5,443716,455800,468069.5,480498
SLB,98674,120373.6,135589.5,133563.6,130447.8,122623,120259,91451.5,90698,106915.2,74131.2,60966,51667.2,43315.2,39847.5,38272.4,38460,39959.4,34576.5,33083.5,33760.8,36564,43814.4
SLE,3384662.4,3822477.4,3769798.5,3920565.9,3953248,3673173.6,3371948.5,3047800.5,2944881.6,2974534,2865212.4,2734062,2186094.6,1459157.6,1369078.6,2700124.7,2460649.2,2464663.8,2515176,2100819.5,2135673.8,2171809.5,2095675.2
SLV,948855.6,1033550,1066230,1163747.9,933755.6,958008.1,757000,572504.4,831571,827267.6,773707.5,715795.2,597838.1,535085.6,552728,458323.8,480316.5,361632.6,340477.2,250104.8,250128,256612.2,251366.4
SRB,304532.7,374637.4,290878.3,481895.4,729530.4,809998.5,506349.6,391891.5,358540,406112,493038,530646,1495819,583368,1758143.6,285002.2,1470294,1244805.6,228688.2,378138.9,371660.8,370379.8,349136.8
SSD,2148340.6,2235864.4,2320182.2,2405141.2,2496832.8,2599745.4,2714840.8,2839554.2,2969717.8,3094720,3330163.6,4783552.2,6179812.8,5961811.8,6398551.9,7023450.2,7948926.9,8344176,8458069.3,9338478.3,10019682,10174776.8,10268863.6
STP,4503.6,5325,6508.8,6260.4,7797.6,8174.4,7743.3,9339.9,10804.9,15338.7,15907.5,15644.6,18263.4,18157.7,15623.8,14937,15660,15973.2,15946.7,16401,16633.4,17171,17774.1
SUR,99944.9,101001.4,102057.9,100734,96923.8,98103.4,97272,96033,99704,100553,100939.4,95314.5,96391.5,97468.5,98366,104129.9,107887,108996.8,109964.8,110932.8,127275.6,132515.9,130959.7
SWZ,526433.4,498301.2,528392.8,551109,557245.5,567709.8,573055.2,612326.4,645700.8,664194.4,611697.8,599637.5,570460.8,538014.3,557497.5,554771.4,602469.8,614876.6,594374.3,585527,595746,605682,614906.8
SYR,4923.3,5029.8,3417.6,1741.6,1780.7,0,1891.5,1963.3,0,2082.5,2101.8,0,2042,15848,57609,370953,429442.3,2480930.2,7929770.8,4693196.3,4433893.2,5280655.2,5517903.2
TCD,4774698.9,4678020,4718848.4,4431451.4,3064476,2655674.6,3027300.5,3106432.5,3365505.9,3565930,3248717.1,3612672,3445596,3139026,2918907,2371723.7,2608586,2616440,2172449.5,1832842.6,1900459.5,1963298.6,2029188
TGO,2380114.8,2553444,2610797.2,2430262.8,2559384,3004562.4,2986720.8,3285756.3,3662714.5,3852413.5,3811408.3,3776974.5,3825264.3,3822940.4,3712091.5,3857581.7,3167899,2779987,2253462,2017276.8,2065817.6,2120495,2036826.6
THA,12925277.4,10630743.9,8489672.5,7811155,7020216,5842541.8,5121107.2,4223304.8,4378726.8,4474338.9,4193841.6,2917296,3555025.6,2875634.6,2770888.5,1737047.4,2217420.8,2091821.1,2110081.5,1531662.6,1506218.7,1515056.4,1516560.6
TJK,2792227.2,2952178.2,2745558.4,2717616.4,1661891.2,1455789.6,1305686.5,1165776,1027645.4,791390.7,709941.8,719853.6,602023.5,550312.1,541086.1,925856.7,671721.5,670859.2,628383,655086,623455,540736,517373.6
TLS,418167.1,352199.2,343820.4,350284.5,355273.2,358587,439950.6,402357,469041.3,368768.4,337662,384314,412354.8,352182,291243.6,329361.4,295677,293511.1,294722.4,284671.2,289805.4,297297.7,307509.4
TON,4049.1,3831.3,3148.2,2990,2990,3030,2590.8,2348.4,1936.4,2781,2745.6,2793,3097.5,3339,3635.8,4066,3413.3,3445.2,3477.1,3718,3651.9,3785.6,3638.6
TUN,458762.7,399268.8,383709.6,361816,341579.7,320265.1,299762.4,295552.6,289342.4,299877,209608,187258.8,153506.7,116748.4,104744.2,42837.4,29650.4,28830,25649.8,23566,23806,25239.9,25470.9
TUR,11661456,13185036.8,13699572.9,15735076.6,10989312,9669529.6,8272188.9,7787904.3,6741203.7,6591816,6726411,5938788.1,5383954,4729108.8,4937687.1,5799955.2,4381166.3,4440975,4153191.9,6330000.6,6396610.5,6423064,6197885.1
TZA,16015810.8,15549807.6,13572245.4,12207161.4,10767375,9505933.2,8899065,8342876,8130433,7972702.5,7306691.5,6731155,7298642.1,7681632.9,8227012.5,9078780,10069646.4,11324456,11599759.6,11006979.1,11343261.8,11693059.2,12036788.4
UGA,9339151.5,9365364,9240477.4,9316087.5,9136366.6,8922854.4,8365605,7791273,7593027.2,7635876,6796566,7131100.8,6923744.9,6838583.4,7491078.6,8494682,9455115.2,10852911.6,9951896,9604091.2,9848135.6,10187621.6,10425422.5
UKR,3169780.9,2439511.2,1895210,889746,656302.4,257906,83910.6,60301.8,18474.4,36795.2,13737.9,4557.6,49883.9,0,4488.3,53589.6,22219.5,8844.6,4400.9,0,0,0,0
UZB,19548708.3,20462731.2,21333134.4,22026093.7,21864528,21792864,21754010,21467887.2,21188882,21029716.4,20963209.6,20915145.5,20681654.1,20386582,20156789.1,19809152,19104052.5,20445377.7,20720073,20625760.9,20838345,21141666.7,21160210.5
VNM,13086618,13947966,14326083.6,11013758.8,10708289.6,9847291.2,8747663.2,8073660,9702625.2,9036708,2831136,2942477.3,2342706.8,1985506.6,2110026,1684278,1513104,1213358,1186839.3,828146.5,786880,794272,801560
VUT,10471,12236,9971.6,9910.2,10865,10742.6,11042.4,12034,13140,14483.7,15222,14749.2,15289.3,16040.2,15763.8,16960,16151.6,15789,16130.4,16329.6,16669.8,18360,19216.8
WSM,10544.4,8483.2,7965,7351.4,7369.2,6822,6389.3,6697.6,6992,7659,5933.4,7498.7,8542.8,9129.8,8179.2,7430.2,7819.5,7957.6,8217,8477.4,8520,8383,8323
YEM,1749962.5,2878035,3899205.9,4919993.6,5590748.1,5993769.6,6762736,7939480,8830620,8634005,8087758.2,10772738.4,11306649,11355744,11406511.6,17283405.7,19692217.6,20603454.3,20486277.5,20475276,22472035,23328531.7,23839880
ZAF,14733561.6,14968439.5,15631442.4,15905236.2,15342546,13528299.1,11511918,10326609,11433441.6,11799786.5,10930861.5,11424691.8,11982847.8,12242745.9,13155048,13800633.6,15017621.5,15381650.4,15239434.5,15474322.5,15649146.5,16005073.6,16048930
ZMB,3477336.2,3479916,3513920,3456297.2,4372516.4,5261134.5,5452675.2,5420003.4,5510559.6,5580203.2,5480445,5541952.5,5594820,5774808.3,6045327,6431950,6745900.6,6870078.6,7035195,7399896,7955386.1,8094088,8335082.7
ZWE,1233199.8,1254013.8,1733750,2739051.2,3197055.6,3672372,4049062.5,4474881,6031954.2,4978865.5,3872241.4,3193914,3018697.2,3492760,3886654.2,4381272.9,4917675,5478042,5928357,9122965.2,9403992,9638622,9820078.8
